#,Col,Row,ToT,TS,Amp,RO_Time
0,16,52,5,0,0,5276
0,28,155,5,0,0,5276
0,19,153,5,0,0,5377
0,19,234,5,0,0,5401
0,11,194,5,0,0,5401
0,24,17,5,0,0,5406
0,16,129,5,0,0,5476
0,28,220,5,0,0,5503
0,18,93,5,0,0,5551
0,6,198,5,0,0,5601
0,26,195,5,0,0,5651
0,18,98,5,0,0,5751
0,11,293,5,0,0,5801
0,3,124,5,0,0,5851
0,2,13,5,0,0,5901
0,19,4,5,0,0,6101
0,22,41,5,0,0,6151
0,10,215,5,0,0,6201
0,14,228,5,0,0,6201
0,27,8,5,0,0,6227
0,28,224,5,0,0,6326
0,26,162,5,0,0,6327
0,6,193,5,0,0,6351
0,11,212,5,0,0,6401
0,23,96,5,0,0,6401
0,22,195,5,0,0,6401
0,17,142,5,0,0,6576
0,14,166,5,0,0,6576
0,22,313,5,0,0,6601
0,6,10,5,0,0,6626
0,26,131,5,0,0,6676
0,22,73,5,0,0,6676
0,21,260,5,0,0,6701
0,3,40,5,0,0,6901
0,17,32,5,0,0,6951
0,24,21,5,0,0,7101
0,15,18,5,0,0,7279
0,23,85,5,0,0,7326
0,21,179,5,0,0,7401
0,8,77,5,0,0,7451
0,7,43,5,0,0,7451
0,15,202,5,0,0,7501
0,12,191,5,0,0,7601
0,14,131,5,0,0,7751
0,8,310,5,0,0,7776
0,11,36,5,0,0,7826
0,19,181,5,0,0,7876
0,19,181,5,0,0,7876
0,26,184,5,0,0,7876
0,12,278,5,0,0,7901
0,1,238,5,0,0,7926
0,17,60,5,0,0,8051
0,28,117,5,0,0,8076
0,16,36,5,0,0,8151
0,7,4,5,0,0,8176
0,14,240,5,0,0,8176
0,28,99,5,0,0,8251
0,17,203,5,0,0,8326
0,3,120,5,0,0,8501
0,16,7,5,0,0,8526
0,27,89,5,0,0,8551
0,2,33,5,0,0,8651
0,20,312,5,0,0,8751
0,1,95,5,0,0,8876
0,13,196,5,0,0,8976
0,18,268,5,0,0,8976
0,11,123,5,0,0,9001
0,11,123,5,0,0,9001
0,3,117,5,0,0,9026
0,27,149,5,0,0,9026
0,15,157,5,0,0,9076
0,12,142,5,0,0,9101
0,13,310,5,0,0,9101
0,16,194,5,0,0,9126
0,1,274,5,0,0,9201
0,0,65,5,0,0,9276
0,12,49,5,0,0,9501
0,2,178,5,0,0,9576
0,1,256,5,0,0,9626
0,0,102,5,0,0,9726
0,16,128,5,0,0,9726
0,5,153,5,0,0,9751
0,16,252,5,0,0,9826
0,19,78,5,0,0,9851
0,14,300,5,0,0,9876
0,26,310,5,0,0,9901
0,12,38,5,0,0,10001
0,23,68,5,0,0,10076
0,25,279,5,0,0,10226
0,25,296,5,0,0,10276
